Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Average Distance of Shot,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
Alex Iwobi,NGA,FWDF,Everton,24,1996,8.7,0,6,1,16.7,0.69,0.12,0,0,20.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,2020/2021
Alireza Jahanbakhsh,IRN,FWDF,Brighton,27,1993,2.8,0,11,2,18.2,3.91,0.71,0,0,15.2,0,0,0,1.1,1.1,0.1,-1.1,-1.1,2020/2021
Daniel James,WAL,FW,Manchester Utd,23,1997,3.6,1,10,4,40,2.78,1.11,0.1,0.25,18.4,0,0,0,0.7,0.7,0.07,0.3,0.3,2020/2021
Reece James,ENG,DF,Chelsea,21,1999,12,1,17,6,35.3,1.41,0.5,0.06,0.17,23.6,3,0,0,0.5,0.5,0.03,0.5,0.5,2020/2021
Gabriel Jesus,BRA,FW,Manchester City,23,1997,7,2,13,4,30.8,1.86,0.57,0.15,0.5,11.2,0,0,0,1.8,1.8,0.14,0.2,0.2,2020/2021
Raúl Jiménez,MEX,FW,Wolves,29,1991,9.1,4,26,10,38.5,2.84,1.09,0.15,0.4,15.4,0,0,0,2.4,2.4,0.09,1.6,1.6,2020/2021
Joelinton,BRA,FWMF,Newcastle Utd,24,1996,10.6,1,22,8,36.4,2.08,0.76,0.05,0.13,15.3,0,0,0,1.7,1.7,0.08,-0.7,-0.7,2020/2021
Ben Johnson,ENG,DF,West Ham,20,2000,1.6,1,1,1,100,0.62,0.62,1,1,10.2,0,0,0,0.3,0.3,0.33,0.7,0.7,2020/2021
Curtis Jones,ENG,MF,Liverpool,19,2001,7.5,0,9,5,55.6,1.21,0.67,0,0,18.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,2020/2021
Diogo Jota,POR,FW,Liverpool,24,1996,5.6,5,20,11,55,3.58,1.97,0.25,0.45,14.8,0,0,0,2.4,2.4,0.12,2.6,2.6,2020/2021
James Justin,ENG,DF,Leicester City,22,1998,17,1,5,1,20,0.29,0.06,0.2,1,21.2,0,0,0,0.5,0.5,0.1,0.5,0.5,2020/2021
Aboubakar Kamara,FRA,FWDF,Fulham,25,1995,3.1,0,3,1,33.3,0.96,0.32,0,0,18.9,0,0,0,0.4,0.4,0.12,-0.4,-0.4,2020/2021
Harry Kane,ENG,FW,Tottenham,27,1993,15.9,10,59,21,35.6,3.72,1.32,0.12,0.33,18.1,5,3,3,8.7,6.5,0.11,1.3,0.5,2020/2021
N'Golo Kanté,FRA,MF,Chelsea,29,1991,16.4,0,4,1,25,0.24,0.06,0,0,22,0,0,0,0.3,0.3,0.07,-0.3,-0.3,2020/2021
Michael Keane,ENG,DF,Everton,28,1993,14.7,2,8,3,37.5,0.54,0.2,0.25,0.67,10.6,0,0,0,1,1,0.12,1,1,2020/2021
Naby Keïta,GUI,MF,Liverpool,25,1995,4.4,0,7,1,14.3,1.59,0.23,0,0,18.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,2020/2021
Max Kilman,ENG,DF,Wolves,23,1997,8.4,0,3,1,33.3,0.36,0.12,0,0,8.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,2020/2021
Mateusz Klich,POL,MF,Leeds United,30,1990,15.6,3,18,5,27.8,1.16,0.32,0.06,0.2,22.7,0,2,2,2.5,1,0.06,0.5,0,2020/2021
Robin Koch,GER,DF,Leeds United,24,1996,10.1,0,7,2,28.6,0.69,0.2,0,0,9.1,0,0,0,0.7,0.7,0.1,-0.7,-0.7,2020/2021
Ezri Konsa,ENG,DF,Aston Villa,23,1997,12.5,2,8,4,50,0.64,0.32,0.25,0.5,9.6,0,0,0,0.6,0.6,0.08,1.4,1.4,2020/2021
Cheikhou Kouyaté,SEN,DF,Crystal Palace,31,1989,16.7,1,7,2,28.6,0.42,0.12,0.14,0.5,9.6,0,0,0,0.8,0.8,0.11,0.2,0.2,2020/2021
Mateo Kovačić,CRO,MF,Chelsea,26,1994,7.2,0,9,1,11.1,1.24,0.14,0,0,24.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,2020/2021
Filip Krovinović,CRO,MF,West Brom,25,1995,6.1,0,8,2,25,1.32,0.33,0,0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,2020/2021
Alexandre Lacazette,FRA,FW,Arsenal,29,1991,9.6,7,23,15,65.2,2.4,1.56,0.26,0.4,11.7,1,1,1,5,4.2,0.19,2,1.8,2020/2021
Érik Lamela,ARG,FW,Tottenham,28,1992,2.2,0,8,3,37.5,3.65,1.37,0,0,17.7,3,0,0,0.7,0.7,0.08,-0.7,-0.7,2020/2021
