Rk,Player,PlayerID,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
287,Anthony Martial,Anthony-Martial,FRA,FW,Manchester Utd,23,1995,32,31,2624,17,6,0,1,1,0,0.58,0.21,0.79,0.58,0.79,10.9,10.1,4.1,0.37,0.14,0.51,0.35,0.49,2019/2020
288,David Martin,David-Martin,ENG,GK,West Ham,33,1986,5,4,436,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
289,Josh Martin,Josh-Martin,ENG,FW,Norwich City,17,2001,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.75,0,0.75,0.75,0.75,2019/2020
290,Martinelli,Martinelli,BRA,FW,Arsenal,18,2001,14,6,663,3,0,0,0,1,0,0.41,0,0.41,0.41,0.41,2.3,2.3,0.3,0.31,0.04,0.34,0.31,0.34,2019/2020
291,Emiliano Martínez,Emiliano-Martinez,ARG,GK,Arsenal,26,1992,9,8,771,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
292,Adam Masina,Adam-Masina,ITA,DF,Watford,25,1994,26,20,1821,1,0,0,0,3,0,0.05,0,0.05,0.05,0.05,0.7,0.7,0.6,0.04,0.03,0.06,0.04,0.06,2019/2020
293,Arthur Masuaku,Arthur-Masuaku,COD,DF,West Ham,25,1993,17,10,937,0,1,0,0,6,1,0,0.1,0.1,0,0.1,0.1,0.1,1,0.01,0.1,0.11,0.01,0.11,2019/2020
294,Juan Mata,Juan-Mata,ESP,MFFW,Manchester Utd,31,1988,19,8,758,0,2,0,0,1,0,0,0.24,0.24,0,0.24,1.1,1.1,2,0.13,0.24,0.37,0.13,0.37,2019/2020
295,Nemanja Matić,Nemanja-Matic,SRB,MF,Manchester Utd,30,1988,21,18,1581,0,2,0,0,3,0,0,0.11,0.11,0,0.11,0.2,0.2,1.2,0.01,0.07,0.08,0.01,0.08,2019/2020
296,Joël Matip,Joel-Matip,CMR,DF,Liverpool,27,1991,9,8,703,1,0,0,0,0,0,0.13,0,0.13,0.13,0.13,0.3,0.3,0,0.04,0,0.04,0.04,0.04,2019/2020
297,Neal Maupay,Neal-Maupay,FRA,FW,Brighton,22,1996,37,30,2766,10,3,1,2,3,0,0.33,0.1,0.42,0.29,0.39,11.6,10.1,2.4,0.38,0.08,0.46,0.33,0.41,2019/2020
298,James McArthur,James-McArthur,SCO,MF,Crystal Palace,31,1987,37,37,3090,0,3,0,0,6,0,0,0.09,0.09,0,0.09,2.5,2.5,2.6,0.07,0.07,0.15,0.07,0.15,2019/2020
299,Oliver McBurnie,Oliver-McBurnie,SCO,FW,Sheffield Utd,23,1996,36,24,2113,6,0,0,0,4,0,0.26,0,0.26,0.26,0.26,7.7,7.7,1.5,0.33,0.06,0.39,0.33,0.39,2019/2020
300,Alex McCarthy,Alex-McCarthy,ENG,GK,Southampton,29,1989,28,28,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
301,James McCarthy,James-McCarthy,IRL,MF,Crystal Palace,28,1990,33,16,1680,0,0,0,0,9,0,0,0,0,0,0,0.4,0.4,0.8,0.02,0.05,0.07,0.02,0.07,2019/2020
302,John McGinn,John-McGinn,SCO,MF,Aston Villa,24,1994,28,27,2312,3,3,0,0,3,0,0.12,0.12,0.23,0.12,0.23,3.8,3.8,2.4,0.15,0.1,0.24,0.15,0.24,2019/2020
303,David McGoldrick,David-McGoldrick,IRL,FW,Sheffield Utd,31,1987,28,22,1815,2,2,0,0,2,0,0.1,0.1,0.2,0.1,0.2,6.8,6.8,2.1,0.34,0.1,0.44,0.34,0.44,2019/2020
