Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
30,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,31,1989,13,13,1166,3,1,1,1,2,0,0.23,0.08,0.31,0.15,0.23,3.1,2.3,1.5,0.24,0.12,0.36,0.18,0.3,2020/2021
31,Serge Aurier,CIV,DF,Tottenham,28,1992,8,8,693,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.7,0.7,0.4,0.09,0.05,0.14,0.09,0.14,2020/2021
32,Charlie Austin,ENG,FW,West Brom,31,1989,4,0,93,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0,0.07,0.07,0.07,2020/2021
33,Jordan Ayew,GHA,FWMF,Crystal Palace,29,1991,12,8,714,1,0,0,0,0,0,0.13,0,0.13,0.13,0.13,1.2,1.2,0.1,0.15,0.01,0.16,0.15,0.16,2020/2021
34,Luke Ayling,ENG,DF,Leeds United,29,1991,15,15,1329,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,1.5,0.04,0.1,0.14,0.04,0.14,2020/2021
35,César Azpilicueta,ESP,DF,Chelsea,31,1989,7,5,501,0,1,0,0,2,0,0,0.18,0.18,0,0.18,0.1,0.1,0.2,0.01,0.04,0.05,0.01,0.05,2020/2021
36,Eric Bailly,CIV,DF,Manchester Utd,26,1994,3,2,188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
37,Fabián Balbuena,PAR,DF,West Ham,29,1991,12,12,1080,1,0,0,0,1,0,0.08,0,0.08,0.08,0.08,0.6,0.6,0,0.05,0,0.05,0.05,0.05,2020/2021
38,George Baldock,ENG,DF,Sheffield Utd,27,1993,15,15,1350,0,1,0,0,2,0,0,0.07,0.07,0,0.07,1,1,1.2,0.07,0.08,0.15,0.07,0.15,2020/2021
39,Gareth Bale,WAL,FW,Tottenham,31,1989,4,1,162,1,0,0,0,0,0,0.56,0,0.56,0.56,0.56,0.6,0.6,0.2,0.36,0.12,0.48,0.36,0.48,2020/2021
40,Patrick Bamford,ENG,FW,Leeds United,27,1993,15,15,1275,10,1,1,1,1,0,0.71,0.07,0.78,0.64,0.71,10.4,9.6,0.8,0.73,0.06,0.79,0.68,0.74,2020/2021
41,Phil Bardsley,SCO,DF,Burnley,35,1985,3,3,270,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0.04,0.04,0.04,2020/2021
42,Ross Barkley,ENG,MF,Aston Villa,27,1993,6,6,454,2,1,0,0,0,0,0.4,0.2,0.59,0.4,0.59,1.5,1.5,1.7,0.3,0.34,0.64,0.3,0.64,2020/2021
43,Ross Barkley,ENG,MF,Chelsea,27,1993,2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,0.16,0.22,0.06,0.22,2020/2021
