Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
282,James Milner,ENG,MFDF,Liverpool,34,1986,8,2,262,0,1,0,0,0,0,0,0.34,0.34,0,0.34,0,0,0.9,0.01,0.31,0.32,0.01,0.32,2020/2021
283,Yerry Mina,COL,DF,Everton,26,1994,13,13,1170,2,0,0,0,1,0,0.15,0,0.15,0.15,0.15,0.5,0.5,0,0.04,0,0.04,0.04,0.04,2020/2021
284,Takumi Minamino,JPN,MFFW,Liverpool,25,1995,8,2,286,1,0,0,0,0,0,0.31,0,0.31,0.31,0.31,0.6,0.6,0,0.19,0,0.19,0.19,0.19,2020/2021
285,Tyrone Mings,ENG,DF,Aston Villa,27,1993,13,13,1124,2,1,0,0,5,1,0.16,0.08,0.24,0.16,0.24,1,1,0.2,0.08,0.02,0.1,0.08,0.1,2020/2021
286,Tyrick Mitchell,ENG,DF,Crystal Palace,21,1999,7,7,630,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,2020/2021
287,Aleksandar Mitrović,SRB,FW,Fulham,26,1994,13,8,793,2,2,1,2,2,0,0.23,0.23,0.45,0.11,0.34,4.3,2.8,1.4,0.49,0.16,0.65,0.32,0.47,2020/2021
288,Jayson Molumby,IRL,MF,Brighton,21,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
289,Wes Morgan,JAM,DF,Leicester City,36,1984,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
290,Mason Mount,ENG,MFFW,Chelsea,21,1999,15,14,1260,1,3,0,0,2,0,0.07,0.21,0.29,0.07,0.29,1.6,1.6,2.5,0.11,0.18,0.29,0.11,0.29,2020/2021
291,Lucas Moura,BRA,FW,Tottenham,28,1992,12,4,450,1,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.8,0.8,0.2,0.17,0.05,0.21,0.17,0.21,2020/2021
292,Lys Mousset,FRA,FW,Sheffield Utd,24,1996,4,0,81,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.7,0.28,0.98,0.7,0.98,2020/2021
293,João Moutinho,POR,MF,Wolves,34,1986,13,10,889,0,0,0,0,4,1,0,0,0,0,0,0.2,0.2,1.1,0.02,0.11,0.12,0.02,0.12,2020/2021
294,Jacob Murphy,ENG,DFFW,Newcastle Utd,25,1995,8,6,556,1,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,0.3,0.3,0.4,0.05,0.07,0.12,0.05,0.12,2020/2021
295,Shkodran Mustafi,GER,DF,Arsenal,28,1992,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
296,Marvelous Nakamba,ZIM,MF,Aston Villa,26,1994,4,1,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,2020/2021
297,Wilfred Ndidi,NGA,MFDF,Leicester City,24,1996,7,6,551,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,2020/2021
298,Tanguy Ndombele,FRA,MF,Tottenham,24,1996,13,11,726,2,1,0,0,2,0,0.25,0.12,0.37,0.25,0.37,0.9,0.9,1.2,0.11,0.15,0.26,0.11,0.26,2020/2021
299,Reiss Nelson,ENG,FW,Arsenal,21,1999,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,2020/2021
300,Pedro Neto,POR,FWMF,Wolves,20,2000,15,14,1196,4,3,0,0,0,0,0.3,0.23,0.53,0.3,0.53,2.2,2.2,2.4,0.16,0.18,0.35,0.16,0.35,2020/2021
301,Rúben Neves,POR,MF,Wolves,23,1997,15,11,973,0,0,0,0,3,0,0,0,0,0,0,1,1,0.7,0.09,0.07,0.15,0.09,0.15,2020/2021
302,Eddie Nketiah,ENG,FW,Arsenal,21,1999,12,3,316,1,1,0,0,0,0,0.28,0.28,0.57,0.28,0.57,1.1,1.1,0.6,0.32,0.17,0.49,0.32,0.49,2020/2021
303,Niels Nkounkou,FRA,DF,Everton,20,2000,1,1,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,2020/2021
304,Dan Nlundulu,ENG,FW,Southampton,21,1999,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
305,Mark Noble,ENG,MF,West Ham,33,1987,8,3,227,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.03,0.03,0,0.03,2020/2021
306,Oliver Norwood,NIR,MF,Sheffield Utd,29,1991,9,5,452,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0.11,0.11,0,0.11,2020/2021
307,Jack O'Connell,ENG,DF,Sheffield Utd,26,1994,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
308,Dara O'Shea,IRL,DF,West Brom,21,1999,10,9,821,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,2020/2021
309,Michael Obafemi,IRL,FW,Southampton,20,2000,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
310,Denis Odoi,BEL,DF,Fulham,32,1988,3,3,270,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,2020/2021
311,Angelo Ogbonna,ITA,DF,West Ham,32,1988,15,15,1322,2,0,0,0,2,0,0.14,0,0.14,0.14,0.14,0.7,0.7,1,0.05,0.07,0.12,0.05,0.12,2020/2021
312,Robin Olsen,SWE,GK,Everton,30,1990,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
313,Josh Onomah,ENG,MF,Fulham,23,1997,2,2,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
314,Divock Origi,BEL,FW,Liverpool,25,1995,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
315,Ben Osborn,ENG,MFDF,Sheffield Utd,26,1994,9,5,509,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1,0.04,0.18,0.22,0.04,0.22,2020/2021
316,Owen Otasowie,USA,MF,Wolves,19,2001,3,1,112,0,1,0,0,1,0,0,0.8,0.8,0,0.8,0,0,0.1,0.03,0.12,0.15,0.03,0.15,2020/2021
317,Alex Oxlade-Chamberlain,ENG,FWMF,Liverpool,27,1993,2,0,24,0,1,0,0,0,0,0,3.75,3.75,0,3.75,0.1,0.1,0.2,0.24,0.86,1.1,0.24,1.1,2020/2021
318,Emerson Palmieri,ITA,DF,Chelsea,26,1994,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
319,Thomas Partey,GHA,MF,Arsenal,27,1993,5,4,277,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.1,0.16,0.02,0.18,0.16,0.18,2020/2021
320,Rui Patrício,POR,GK,Wolves,32,1988,15,15,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
321,Bailey Peacock-Farrell,NIR,GK,Burnley,24,1996,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
322,Lee Peltier,ENG,MF,West Brom,34,1986,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
323,Nicolas Pépé,CIV,FWMF,Arsenal,25,1995,11,4,456,2,0,1,1,0,1,0.39,0,0.39,0.2,0.2,1.7,0.9,0.3,0.34,0.05,0.39,0.19,0.24,2020/2021
324,Matheus Pereira,BRA,MFFW,West Brom,24,1996,11,10,802,1,3,0,0,1,1,0.11,0.34,0.45,0.11,0.45,0.8,0.8,1.5,0.1,0.17,0.27,0.1,0.27,2020/2021
325,Ayoze Pérez,ESP,MFFW,Leicester City,27,1993,9,7,538,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17,1.7,1.7,0.7,0.28,0.13,0.41,0.28,0.41,2020/2021
326,Kalvin Phillips,ENG,MF,Leeds United,25,1995,12,12,1035,0,2,0,0,4,0,0,0.17,0.17,0,0.17,0.2,0.2,1.4,0.01,0.12,0.13,0.01,0.13,2020/2021
327,Matt Phillips,SCO,MFDF,West Brom,29,1991,12,5,523,0,1,0,0,1,0,0,0.17,0.17,0,0.17,0.1,0.1,0.7,0.02,0.12,0.15,0.02,0.15,2020/2021
328,Nathaniel Phillips,ENG,DF,Liverpool,23,1997,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,2020/2021
329,Jordan Pickford,ENG,GK,Everton,26,1994,13,13,1170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
330,Erik Pieters,NED,MFDF,Burnley,32,1988,7,2,268,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.01,0.05,0.04,0.05,2020/2021
331,Daniel Podence,POR,FWMF,Wolves,25,1995,14,14,1081,3,2,0,0,2,0,0.25,0.17,0.42,0.25,0.42,2.6,2.6,0.9,0.22,0.07,0.29,0.22,0.29,2020/2021
332,Paul Pogba,FRA,MFFW,Manchester Utd,27,1993,11,7,681,1,0,0,0,1,0,0.13,0,0.13,0.13,0.13,0.4,0.4,0.4,0.05,0.06,0.11,0.05,0.11,2020/2021
333,Nick Pope,ENG,GK,Burnley,28,1992,13,13,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,2020/2021
334,Dennis Praet,BEL,MFFW,Leicester City,26,1994,13,9,654,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,0.5,0.5,0.8,0.07,0.1,0.18,0.07,0.18,2020/2021
335,Christian Pulisic,USA,FWMF,Chelsea,22,1998,9,6,605,1,0,0,0,0,0,0.15,0,0.15,0.15,0.15,2.2,2.2,0.8,0.33,0.12,0.45,0.33,0.45,2020/2021
336,Aaron Ramsdale,ENG,GK,Sheffield Utd,22,1998,15,15,1350,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,2020/2021
337,Jacob Ramsey,ENG,MF,Aston Villa,19,2001,4,1,114,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.14,0.02,0.16,0.14,0.16,2020/2021
338,Marcus Rashford,ENG,FW,Manchester Utd,23,1997,14,13,1183,6,4,0,0,1,0,0.46,0.3,0.76,0.46,0.76,5.7,5.7,1.6,0.43,0.12,0.55,0.43,0.55,2020/2021
339,Tim Ream,USA,DF,Fulham,33,1987,5,5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
340,Nathan Redmond,ENG,MF,Southampton,26,1994,9,3,402,1,0,0,0,0,0,0.22,0,0.22,0.22,0.22,1.1,1.1,0.1,0.25,0.01,0.27,0.25,0.27,2020/2021
341,Harrison Reed,ENG,MF,Fulham,25,1995,11,8,715,0,1,0,0,2,0,0,0.13,0.13,0,0.13,0.1,0.1,0.6,0.01,0.08,0.08,0.01,0.08,2020/2021
342,Sergio Reguilón,ESP,DF,Tottenham,24,1996,11,10,880,0,2,0,0,2,0,0,0.2,0.2,0,0.2,0.4,0.4,0.8,0.04,0.08,0.12,0.04,0.12,2020/2021
343,Bobby Reid,JAM,DFFW,Fulham,27,1993,14,11,930,4,0,0,0,4,0,0.39,0,0.39,0.39,0.39,2.5,2.5,0.1,0.24,0.01,0.25,0.24,0.25,2020/2021
344,Declan Rice,ENG,MF,West Ham,21,1999,15,15,1350,0,1,0,0,1,0,0,0.07,0.07,0,0.07,0.6,0.6,1,0.04,0.07,0.11,0.04,0.11,2020/2021
345,Richarlison,BRA,FW,Everton,23,1997,11,11,905,2,3,1,1,2,1,0.2,0.3,0.5,0.1,0.4,4.1,3.3,1.8,0.4,0.18,0.59,0.33,0.51,2020/2021
346,Jaïro Riedewald,NED,MF,Crystal Palace,24,1996,13,6,599,1,0,0,0,0,0,0.15,0,0.15,0.15,0.15,0.5,0.5,0.3,0.08,0.05,0.12,0.08,0.12,2020/2021
347,Matt Ritchie,SCO,MFDF,Newcastle Utd,31,1989,5,4,336,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.05,0.13,0.18,0.05,0.18,2020/2021
348,Tyler Roberts,WAL,MFFW,Leeds United,21,1999,8,2,242,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.04,0.12,0.17,0.04,0.17,2020/2021
349,Andrew Robertson,SCO,DF,Liverpool,26,1994,15,15,1350,1,5,0,0,0,0,0.07,0.33,0.4,0.07,0.4,0.8,0.8,2.8,0.06,0.19,0.25,0.06,0.25,2020/2021
350,Antonee Robinson,USA,DF,Fulham,23,1997,12,12,1080,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,1,0.02,0.08,0.11,0.02,0.11,2020/2021
351,Callum Robinson,IRL,FWMF,West Brom,25,1995,14,8,667,2,0,0,0,0,0,0.27,0,0.27,0.27,0.27,0.6,0.6,0.5,0.07,0.07,0.15,0.07,0.15,2020/2021
352,Jack Robinson,ENG,DF,Sheffield Utd,27,1993,7,5,551,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0,0.05,0,0.05,0.05,0.05,2020/2021
353,Hal Robson-Kanu,WAL,FWMF,West Brom,31,1989,5,0,142,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.09,0.03,0.11,0.09,0.11,2020/2021
354,Marek Rodák,SVK,GK,Fulham,24,1996,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
355,Joe Rodon,WAL,DF,Tottenham,23,1997,4,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
356,Rodri,ESP,MF,Manchester City,24,1996,14,14,1181,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.3,0.04,0.02,0.06,0.04,0.06,2020/2021
357,Rodrigo,ESP,MFFW,Leeds United,29,1991,13,7,684,2,0,0,0,0,0,0.26,0,0.26,0.26,0.26,3.4,3.4,1.3,0.44,0.18,0.62,0.44,0.62,2020/2021
358,James Rodríguez,COL,FWMF,Everton,29,1991,10,10,840,3,3,0,0,1,0,0.32,0.32,0.64,0.32,0.64,2.2,2.2,3.1,0.24,0.34,0.58,0.24,0.58,2020/2021
359,Jay Rodriguez,ENG,FWMF,Burnley,31,1989,12,6,558,0,0,0,0,3,0,0,0,0,0,0,0.6,0.6,0.5,0.09,0.08,0.16,0.09,0.16,2020/2021
360,Oriol Romeu,ESP,MF,Southampton,29,1991,14,14,1215,1,1,0,0,5,0,0.07,0.07,0.15,0.07,0.15,0.3,0.3,0.8,0.02,0.06,0.08,0.02,0.08,2020/2021
361,Antonio Rüdiger,GER,DF,Chelsea,27,1993,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0.04,0.04,0.04,2020/2021
362,Mathew Ryan,AUS,GK,Brighton,28,1992,11,11,990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
363,Allan Saint-Maximin,FRA,FWMF,Newcastle Utd,23,1997,8,8,582,1,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,0.8,0.8,1.2,0.12,0.19,0.31,0.12,0.31,2020/2021
364,Romain Saïss,MAR,DF,Wolves,30,1990,10,10,877,2,0,0,0,0,0,0.21,0,0.21,0.21,0.21,1,1,0.1,0.1,0.01,0.11,0.1,0.11,2020/2021
365,Bukayo Saka,ENG,DFFW,Arsenal,19,2001,13,12,1081,2,0,0,0,0,0,0.17,0,0.17,0.17,0.17,2.6,2.6,1,0.22,0.08,0.3,0.22,0.3,2020/2021
366,Mamadou Sakho,FRA,DF,Crystal Palace,30,1990,4,3,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,2020/2021
367,Mohamed Salah,EGY,FW,Liverpool,28,1992,14,13,1169,13,3,5,5,0,0,1,0.23,1.23,0.62,0.85,8.5,4.7,2.8,0.65,0.21,0.86,0.36,0.58,2020/2021
368,Davinson Sánchez,COL,DF,Tottenham,24,1996,5,5,450,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.14,0,0.14,0.14,0.14,2020/2021
369,Robert Sánchez,ESP,GK,Brighton,23,1997,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
370,Romaine Sawyers,SKN,MF,West Brom,29,1991,13,11,960,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.4,0.01,0.03,0.04,0.01,0.04,2020/2021
371,Fabian Schär,SUI,DF,Newcastle Utd,29,1991,8,5,502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,2020/2021
372,Jeffrey Schlupp,GHA,MF,Crystal Palace,28,1992,14,11,937,1,1,0,0,2,0,0.1,0.1,0.19,0.1,0.19,1.2,1.2,0.9,0.12,0.09,0.2,0.12,0.2,2020/2021
373,Kasper Schmeichel,DEN,GK,Leicester City,34,1986,16,16,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
374,Nélson Semedo,POR,DF,Wolves,27,1993,13,13,1139,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.3,0.05,0.03,0.08,0.05,0.08,2020/2021
375,Jamie Shackleton,ENG,MFDF,Leeds United,21,1999,7,1,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.09,0.09,0,0.09,2020/2021
376,Xherdan Shaqiri,SUI,FWMF,Liverpool,29,1991,2,0,53,0,1,0,0,0,0,0,1.7,1.7,0,1.7,0,0,0.6,0,0.98,0.98,0,0.98,2020/2021
377,Billy Sharp,ENG,FWMF,Sheffield Utd,34,1986,5,2,191,1,0,1,1,0,0,0.47,0,0.47,0,0,1.1,0.4,0,0.53,0,0.53,0.17,0.17,2020/2021
378,Luke Shaw,ENG,DF,Manchester Utd,25,1995,10,10,845,0,1,0,0,2,0,0,0.11,0.11,0,0.11,0,0,1.2,0,0.13,0.13,0,0.13,2020/2021
379,Jonjo Shelvey,ENG,MF,Newcastle Utd,28,1992,8,8,701,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.7,0.1,0.09,0.19,0.1,0.19,2020/2021
380,Gylfi Sigurðsson,ISL,MF,Everton,31,1989,14,8,762,2,2,1,1,0,0,0.24,0.24,0.47,0.12,0.35,2,1.2,1.6,0.24,0.19,0.43,0.15,0.34,2020/2021
381,Bernardo Silva,POR,MFFW,Manchester City,26,1994,8,6,554,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.5,0.09,0.08,0.17,0.09,0.17,2020/2021
382,Fábio Silva,POR,FW,Wolves,18,2002,10,3,418,1,0,1,1,1,0,0.22,0,0.22,0,0,1.8,1.1,0.2,0.4,0.05,0.45,0.23,0.28,2020/2021
383,Thiago Silva,BRA,DF,Chelsea,36,1984,11,11,972,2,0,0,0,2,0,0.19,0,0.19,0.19,0.19,0.7,0.7,0.1,0.06,0.01,0.07,0.06,0.07,2020/2021
384,Moussa Sissoko,FRA,MF,Tottenham,31,1989,13,11,1044,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,2020/2021
385,Islam Slimani,ALG,FW,Leicester City,32,1988,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.13,0.32,0.19,0.32,2020/2021
386,William Smallbone,IRL,MF,Southampton,20,2000,2,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
387,Emile Smith-Rowe,ENG,MF,Arsenal,20,2000,1,1,64,0,1,0,0,0,0,0,1.41,1.41,0,1.41,0.3,0.3,0,0.41,0.04,0.44,0.41,0.44,2020/2021
388,Robert Snodgrass,SCO,FWDF,West Ham,33,1987,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
389,Cédric Soares,POR,MF,Arsenal,29,1991,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
390,Tomáš Souček,CZE,MF,West Ham,25,1995,15,15,1350,4,0,0,0,1,0,0.27,0,0.27,0.27,0.27,3.8,3.8,0.4,0.25,0.03,0.28,0.25,0.28,2020/2021
391,Çağlar Söyüncü,TUR,DF,Leicester City,24,1996,4,4,360,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.02,0.01,0.02,2020/2021
392,Dale Stephens,ENG,MF,Burnley,31,1989,4,3,219,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.08,0,0.08,0.08,0.08,2020/2021
393,Jack Stephens,ENG,DF,Southampton,26,1994,5,4,405,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,2020/2021
394,Raheem Sterling,ENG,FW,Manchester City,26,1994,13,12,1089,4,3,0,0,1,0,0.33,0.25,0.58,0.33,0.58,3.8,3.8,1.7,0.31,0.14,0.45,0.31,0.45,2020/2021
395,Enda Stevens,IRL,DF,Sheffield Utd,30,1990,12,12,1080,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.2,0.02,0.02,0.04,0.02,0.04,2020/2021
396,John Stones,ENG,DF,Manchester City,26,1994,6,6,540,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.06,0.01,0.07,0.06,0.07,2020/2021
397,Pascal Struijk,NED,DFMF,Leeds United,21,1999,6,5,389,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.05,0.02,0.06,0.05,0.06,2020/2021
398,Matt Targett,ENG,DF,Aston Villa,25,1995,14,14,1260,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.7,0.01,0.05,0.07,0.01,0.07,2020/2021
399,James Tarkowski,ENG,DF,Burnley,28,1992,12,12,1080,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.2,0.05,0.01,0.06,0.05,0.06,2020/2021
400,Charlie Taylor,ENG,DF,Burnley,27,1993,14,14,1260,0,1,0,0,1,0,0,0.07,0.07,0,0.07,0.1,0.1,0.7,0,0.05,0.06,0,0.06,2020/2021
401,Nathan Tella,ENG,FWMF,Southampton,21,1999,4,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,2020/2021
402,Alex Telles,BRA,DF,Manchester Utd,28,1992,5,4,384,0,1,0,0,0,0,0,0.23,0.23,0,0.23,0.1,0.1,0.6,0.03,0.15,0.18,0.03,0.18,2020/2021
403,Kenny Tete,NED,DF,Fulham,25,1995,2,2,128,0,1,0,0,1,0,0,0.7,0.7,0,0.7,0,0,0.5,0,0.36,0.36,0,0.36,2020/2021
404,Luke Thomas,ENG,DF,Leicester City,,,4,4,270,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.02,0.01,0.04,0.02,0.04,2020/2021
405,Youri Tielemans,BEL,MF,Leicester City,23,1997,16,15,1384,3,0,2,2,3,0,0.2,0,0.2,0.07,0.07,2.9,1.4,0.2,0.19,0.01,0.2,0.09,0.1,2020/2021
406,Kieran Tierney,SCO,DF,Arsenal,23,1997,14,14,1250,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,1.6,0.01,0.12,0.13,0.01,0.13,2020/2021
407,James Tomkins,ENG,DF,Crystal Palace,31,1989,2,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
408,Fikayo Tomori,ENG,DF,Chelsea,23,1997,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
409,Ferrán Torres,ESP,FW,Manchester City,20,2000,10,7,569,2,1,0,0,1,0,0.32,0.16,0.47,0.32,0.47,2.5,2.5,0.5,0.39,0.08,0.47,0.39,0.47,2020/2021
410,Cenk Tosun,TUR,FW,Everton,29,1991,4,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.34,0.34,0,0.34,2020/2021
411,Andros Townsend,ENG,MF,Crystal Palace,29,1991,14,12,1022,1,3,0,0,0,0,0.09,0.26,0.35,0.09,0.35,0.5,0.5,2,0.05,0.18,0.23,0.05,0.23,2020/2021
412,Conor Townsend,ENG,DF,West Brom,27,1993,8,8,704,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.04,0.03,0.07,0.04,0.07,2020/2021
413,Adama Traoré,ESP,FWDF,Wolves,24,1996,15,8,856,0,0,0,0,3,0,0,0,0,0,0,0.4,0.4,1.8,0.05,0.19,0.24,0.05,0.24,2020/2021
414,Bertrand Traoré,BFA,FWMF,Aston Villa,25,1995,12,6,533,2,2,0,0,0,0,0.34,0.34,0.68,0.34,0.68,1.5,1.5,0.9,0.25,0.16,0.41,0.25,0.41,2020/2021
415,Trézéguet,EGY,FW,Aston Villa,26,1994,9,8,716,0,1,0,0,0,0,0,0.13,0.13,0,0.13,2.5,2.5,1.9,0.31,0.24,0.55,0.31,0.55,2020/2021
416,Leandro Trossard,BEL,FWMF,Brighton,26,1994,12,10,920,1,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2,1.9,1.9,2.1,0.19,0.2,0.39,0.19,0.39,2020/2021
417,Axel Tuanzebe,ENG,DF,Manchester Utd,23,1997,2,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
418,Cengiz Ünder,TUR,MFFW,Leicester City,23,1997,6,1,207,0,2,0,0,0,0,0,0.87,0.87,0,0.87,0.2,0.2,1.7,0.07,0.72,0.8,0.07,0.8,2020/2021
419,Jamie Vardy,ENG,FW,Leicester City,33,1987,15,13,1211,11,4,6,7,1,0,0.82,0.3,1.11,0.37,0.67,11.2,5.9,1.5,0.83,0.11,0.94,0.44,0.55,2020/2021
420,Joël Veltman,NED,DF,Brighton,28,1992,10,7,680,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,2020/2021
421,Jannik Vestergaard,DEN,DF,Southampton,28,1992,13,12,1125,3,0,0,0,0,0,0.24,0,0.24,0.24,0.24,0.6,0.6,0.4,0.04,0.03,0.08,0.04,0.08,2020/2021
422,Rúben Vinagre,POR,DF,Wolves,21,1999,2,1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
423,Carlos Vinícius,BRA,FWMF,Tottenham,25,1995,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.86,0.23,1.09,0.86,1.09,2020/2021
424,Vitinha,POR,MF,Wolves,20,2000,7,0,58,0,1,0,0,0,0,0,1.55,1.55,0,1.55,0,0,0.1,0,0.2,0.2,0,0.2,2020/2021
425,Matěj Vydra,CZE,FW,Burnley,28,1992,8,1,175,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.22,0.2,0.43,0.22,0.43,2020/2021
426,Theo Walcott,ENG,FW,Everton,31,1989,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
427,Theo Walcott,ENG,MFFW,Southampton,31,1989,10,10,836,2,2,0,0,0,0,0.22,0.22,0.43,0.22,0.43,2.1,2.1,0.7,0.22,0.07,0.29,0.22,0.29,2020/2021
